repo,user,project_name
['https://github.com/tash1207/Gradugation'],tash1207,Gradugation
['https://github.com/ahmedwafdi/PlaneCrashers'],ahmedwafdi,PlaneCrashers
['https://github.com/James-QiuHaoran/JPoker_24_Game'],James-QiuHaoran,JPoker_24_Game
['https://github.com/sonthanh297/Math-Game-Play-Online'],sonthanh297,Math-Game-Play-Online
['https://github.com/ucsb-cs56-projects/cs56-games-pacman'],ucsb-cs56-projects,cs56-games-pacman
['https://github.com/ucsb-cs56-projects/cs56-games-Go'],ucsb-cs56-projects,cs56-games-Go
['https://github.com/ucsb-cs56-projects/cs56-games-battleship'],ucsb-cs56-projects,cs56-games-battleship
['https://github.com/ucsb-cs56-projects/cs56-games-hangman'],ucsb-cs56-projects,cs56-games-hangman
['https://github.com/ucsb-cs56-projects/cs56-games-maze'],ucsb-cs56-projects,cs56-games-maze
['https://github.com/ucsb-cs56-projects/cs56-games-pokemon-map'],ucsb-cs56-projects,cs56-games-pokemon-map
['https://github.com/ucsb-cs56-projects/cs56-games-memory-card'],ucsb-cs56-projects,cs56-games-memory-card
['https://github.com/ucsb-cs56-projects/cs56-games-tetris'],ucsb-cs56-projects,cs56-games-tetris
['https://github.com/ucsb-cs56-projects/cs56-games-rock-paper-scissors'],ucsb-cs56-projects,cs56-games-rock-paper-scissors
['https://github.com/ucsb-cs56-projects/cs56-games-treasure-hunter'],ucsb-cs56-projects,cs56-games-treasure-hunter
['https://github.com/ucsb-cs56-projects/cs56-games-simple-rpg'],ucsb-cs56-projects,cs56-games-simple-rpg
['https://github.com/ucsb-cs56-projects/cs56-games-flood-it'],ucsb-cs56-projects,cs56-games-flood-it
['https://github.com/andyislegend/boardGames'],andyislegend,boardGames
['https://github.com/DavidMcElwaine/BazaarGames'],DavidMcElwaine,BazaarGames
['https://github.com/mattysweeps/SurvivalGames'],mattysweeps,SurvivalGames
['https://github.com/whg333/iMario'],whg333,iMario
['https://github.com/ajeGames/games'],ajeGames,games
['https://github.com/WilsonHuang0917/Games'],WilsonHuang0917,Games
['https://github.com/jeanna5/Games'],jeanna5,Games
