repo,user,project_name
['https://github.com/ornicar/lila'],ornicar,lila
['https://github.com/FreezingMoon/AncientBeast'],FreezingMoon,AncientBeast
['https://github.com/freeciv/freeciv-web'],freeciv,freeciv-web
